Date,Total tx fees (BTC),Num txs,Avg tx fee (BTC),BTC-USD,Avg tx fee (USD)
2016-03-19,42.58594292,203578.0,0.00020918735285738144,408.87,0.08553043296279755
2016-03-20,38.06506394,188863.0,0.00020154855074842613,405.59,0.08174607669805414
2016-03-21,32.8533328,175963.0,0.0001867059143115314,410.77,0.07669318842174774
2016-03-22,38.65376627,189228.0,0.00020427085986217684,410.49,0.08385114526482497
2016-03-23,43.74554841,210488.0,0.0002078291798582342,415.35,0.08632184985411757
2016-03-24,38.7057276,187877.0,0.00020601631705850106,417.8,0.08607361726704174
2016-03-25,38.93741911,194985.0,0.00019969443346924123,416.47,0.0831667407069349
2016-03-26,33.72267197,173609.0,0.0001942449525658232,416.44,0.08089136804651141
2016-03-27,34.69582617,162398.0,0.00021364688093449425,415.71,0.0888151448732786
2016-03-28,33.37519025,161486.0,0.00020667544090509395,426.8,0.0882090781782941
2016-03-29,42.52494951,181300.0,0.00023455570606729177,422.96,0.09920768143822173
2016-03-30,51.72376838,191841.0,0.00026961790430617025,414.0,0.11162181238275448
2016-03-31,53.24548332,207906.0,0.00025610363972179733,412.35,0.10560433583928314
2016-04-01,44.51090066,208976.0,0.00021299527534262305,416.94,0.08880625010135326
2016-04-02,46.0506966,203811.0,0.0002259480430398752,416.25,0.09405087291534805
2016-04-03,56.1792388,196651.0,0.00028567990399235195,418.07,0.11943419746208257
2016-04-04,44.75327221,176722.0,0.0002532410917146705,418.07,0.1058725032131523
2016-04-05,43.71562192,200979.0,0.00021751338159708226,418.99,0.0911359317553615
2016-04-06,49.25479625,216684.0,0.00022731164391464066,421.77,0.09587323205387799
2016-04-07,44.9796096,218585.0,0.0002057762865704417,421.09,0.0866503365119473
2016-04-08,58.98751393,219915.0,0.0002682286971329832,420.33,0.11274456826590683
2016-04-09,43.60850723,215441.0,0.0002024150799058675,422.2,0.08545964673625725
2016-04-10,38.16326873,207555.0,0.0001838706305798463,417.73,0.0768082785121192
2016-04-11,33.20244548,181662.0,0.00018277044995651266,421.63,0.07706150481516442
2016-04-12,46.95261581,217378.0,0.00021599525163540007,420.69,0.09086704241049645
2016-04-13,50.12451616,240200.0,0.00020867825212323064,425.89,0.08887398079676269
2016-04-14,45.40786925,222711.0,0.00020388696225152775,424.61,0.0865724430416212
2016-04-15,46.24177359,230281.0,0.00020080585714844039,423.76,0.0850934900252231
2016-04-16,45.74093808,216850.0,0.0002109335396818077,429.09,0.09050947254206686
2016-04-17,36.73111423,192621.0,0.00019069112002325812,429.43,0.08188848767158774
2016-04-18,33.55790316,191478.0,0.00017525722620875508,425.71,0.07460875376932911
2016-04-19,44.35972629,203165.0,0.00021834334796840005,427.28,0.09329374571993797
2016-04-20,43.21915871,227795.0,0.00018972830268443119,435.91,0.0827044644231704
2016-04-21,43.21507171,216780.0,0.000199349901789833,442.34,0.08818043555771472
2016-04-22,42.82120266,212795.0,0.00020123218430884184,451.0,0.09075571512328767
2016-04-23,42.68874359,210976.0,0.0002023393352324435,447.25,0.09049626768271035
2016-04-24,33.15097021,185216.0,0.0001789854559541292,451.29,0.08077434641753897
2016-04-25,33.26865456,183155.0,0.00018164207671098252,459.4,0.08344637004102537
2016-04-26,43.29847026,217564.0,0.00019901486578661912,463.86,0.09231503564378114
2016-04-27,337.75639818,250744.0,0.0013470168705133523,467.98,0.6303769550628386
2016-04-28,46.11149971,239435.0,0.00019258462509658152,447.31,0.08614502865195188
2016-04-29,49.62034503,247958.0,0.00020011592701183267,450.0,0.0900521671553247
2016-04-30,49.9195874,261884.0,0.00019061717172488582,456.16,0.08695192905402392
2016-05-01,40.87923127,215712.0,0.0001895083781616229,447.17,0.08474246146253292
2016-05-02,34.50281105,191430.0,0.00018023722013268557,451.9,0.08144919977796061
2016-05-03,45.13159943,223785.0,0.0002016739255535447,443.9,0.08952305555321849
2016-05-04,44.86828296,235609.0,0.0001904353524695576,450.96,0.0858787265496717
2016-05-05,47.17185349,233693.0,0.0002018539429507944,447.37,0.0903033984578969
2016-05-06,44.25636722,229580.0,0.00019277100453001132,448.51,0.08645972324175538
2016-05-07,44.519552,233232.0,0.0001908809768813885,460.91,0.08797895105440078
2016-05-08,37.61683514,202062.0,0.00018616481644247805,459.04,0.08545709733975512
2016-05-09,34.18113678,185562.0,0.00018420332169301906,457.82,0.08433196473749799
2016-05-10,40.4654474,226451.0,0.00017869405478447876,461.63,0.08249053651015893
2016-05-11,48.10185732,245721.0,0.00019575802361214547,450.0,0.08809111062546546
2016-05-12,45.88566709,234412.0,0.00019574794417521286,452.51,0.08857790221872557
2016-05-13,46.75238994,228409.0,0.00020468716180185544,454.7,0.09307125247130367
2016-05-14,47.58216903,232146.0,0.00020496656858184074,456.82,0.09363282785955648
2016-05-15,48.00318276,211280.0,0.00022720173589549413,455.65,0.10352447096078189
2016-05-16,45.61359577,200171.0,0.00022787314730905077,457.08,0.10415625817202093
2016-05-17,60.51568467,239809.0,0.0002523495142801146,454.88,0.11478874705573854
2016-05-18,58.4408726,238626.0,0.00024490572108655387,452.89,0.11091535202288938
2016-05-19,58.26811656,235084.0,0.00024786083510574945,452.9,0.11225617221939392
2016-05-20,54.98968957,219146.0,0.00025092718813028757,441.87,0.11087719661913017
2016-05-21,51.58622819,209396.0,0.00024635727611797744,441.25,0.10870514808705754
2016-05-22,56.82664163,191461.0,0.0002968053108988253,443.89,0.13174890945487958
2016-05-23,43.20770201,184348.0,0.00023438118129841387,438.0,0.10265895740870527
2016-05-24,54.73645083,222755.0,0.00024572490327938766,442.17,0.10865218048304684
2016-05-25,59.53134626,246517.0,0.00024148982122936755,445.34,0.10754507698628654
2016-05-26,59.87623565,247844.0,0.00024158840096996496,447.94,0.1082171083304861
2016-05-27,55.65651605,220093.0,0.0002528772657467525,452.49,0.11442443397774804
2016-05-28,70.89209327,215296.0,0.00032927733571455115,470.29,0.15485583821319626
2016-05-29,52.34180926,193054.0,0.00027112522537735555,522.43,0.14164395149389183
2016-05-30,47.98546674,178742.0,0.00026846217867093354,512.16,0.1374955894281053
2016-05-31,57.85196125,211369.0,0.00027370125822613535,525.15,0.143734215757455
2016-06-01,52.33924442,215249.0,0.0002431567367095782,531.15,0.12915270070329246
2016-06-02,56.18497783,234385.0,0.0002397123443479745,539.47,0.12931761840540182
